,Title,Content
0,[Introduction],"['Mr President,', ' I move that the Appropriation Bill 2015 be read a second time.', '2.Today is the seventh day of the Lunar New Year, our common birthday in the Chinese tradition. May I wish you, Mr President, Members and fellow citizens good health and happiness in the Year of the Ram.', '3.2014 was an extraordinary year for all of us. Momentous events, local and global, changed the lives of many and transformed our city. Events are still unfolding, and will require our close scrutiny. But, one thing is for sure – a totally different environment has emerged which presents new challenges ahead.', '4.Since the start of 2015, the international political arena and global financial markets have provided plenty of breaking news. The launch of quantitative easing by Europe and Japan has increased global liquidity. On top of heightened geopolitical tensions in a number of regions, terrorism has added further uncertainty and once again rattled the nerves of the international community. Locally, with constitutional reform entering the next stage, we anticipate that disputes, both inside and outside the Council, will become even more vehement this year.', '5.The long drawn out unlawful occupy movement disrupted different facets of the city to varying degrees. The serious divisions in society that emerged during the 79 days has not only affected the image of Hong Kong, but also aroused concern about much more radical social conflict which in turn will make it harder to mend conflicted relationships among people.', '6.Without doubt, the social issues revealed during the incident did not come about, nor can they be resolved, overnight. We should seek to narrow our differences and pursue consensus with patience and pragmatism. Prolonged bickering will only bog down our development.', '7.I am glad to see that most people do care dearly for our home, Hong Kong. People do cherish our fine tradition of the rule of law, and do not want to see our well-developed systems eroded. Diversity, openness, peace and freedom are not only our core values, but also the foundations of our success, and the most reliable co-ordinates of our development path. If we can firmly grasp these fundamentals, we shall be more confident charting our way forward.', ""8.This year's Budget will complement the initiatives announced in the Policy Address and address the constraints on land and manpower through the effective use of resources. We seek to reinforce the foundation for long-term economic development. In addition to capitalising on our strengths, I shall explore new ideas and strive for diversity to help members of the community realise their aspirations. In particular, I shall make the best use of resources generated by the community's efforts, and continue to care for the disadvantaged and promote sustainable development, so that people from different sectors as well as our next generations can share the benefits of economic growth.""]"
1,[Economic Performance in 2014],"[""9.Global economic performance was less than spectacular in 2014. Despite the steady performance of the Mainland's economy and signs of recovery in the US, our trade performance was beset by Eurozone's weakening economy and Japan's relapse into recession. Merchandise exports grew by one per cent and service exports by 0.5 per cent in real terms. As a result, our economy grew by only 2.3 per cent last year, the third consecutive year with a growth rate lower than the annual average of 3.9 per cent over the past decade."", '10.The unemployment rate averaged at a low level of 3.2 per cent for the year as a whole, sustaining a state of full employment. Private consumption expenditure maintained moderate growth, but investment expenditure was soft and sentiment turned cautious.', ""11.Inflation continued to ease. Overall rentals rose, but the rises were generally modest. With steady increases in labour costs and mild imported inflation, the headline inflation rate for 2014 was 4.4 per cent. Netting out the effects of Government's one-off relief measures, the underlying inflation rate was 3.5 per cent, lower than the four per cent in 2013."", ""12.Prolonged political bickering is detrimental to public administration and the international image of Hong Kong as a stable, law-abiding and efficient city. It may even dampen investors' confidence in Hong Kong. Such self-inflicted harm does not serve the city well. The occupy movement affected tourism, hotel, catering, retail and transport industries, etc. to varying degrees. To offset the impact on economic confidence, I shall implement an array of support measures targeting affected industries and launch a new round of efforts to promote Hong Kong.""]"
2,[Targeted Support    Measures],"['13.I shall launch the following short-term measures to support the affected sectors –', '(a)waive the licence fees for 1800 travel agents for six months;', '(b)waive the licence fees for 2000 hotels and guesthouses for six months;', '(c)waive the licence fees for restaurants and hawkers and fees for restricted food permits for six months, benefiting 26000 restaurants and operators in total; and', '(d)waive the fees for vehicle examination once for the renewal of vehicle licences of taxis, light buses, franchised and non-franchised buses, goods vehicles, trailers and special purpose vehicles within a year.']"
3,[Rebuilding    Confidence],"[""14.More importantly, we need to rebuild international investors' and tourists' confidence in Hong Kong and uplift our international image. Starting from January, the Hong Kong Tourism Board (HKTB) has launched a new round of publicity in Japan, Korea, Southeast Asia and major Mainland cities."", ""15.I shall allocate an additional $80 million for HKTB to step up its promotion efforts in the coming year. These activities will include running overseas promotions, organising shopping festivals and offering merchandise concessions and electronic discount coupons in collaboration with the retail industry, and arranging large-scale familiarisation tours to Hong Kong for overseas trade missions. HKTB will expand the scale of overseas promotion fairs this year and waive local traders' participation fees."", '16.I shall also allocate an additional $26 million to the Information Services Department for inviting overseas media organisations and opinion leaders from around the world to visit Hong Kong, arranging for more overseas visits, and launching another round of publicity campaign for Brand Hong Kong. The Invest Hong Kong (InvestHK), Hong Kong Trade Development Council and Hong Kong representation overseas, and in the Mainland and Taiwan will also organise promotional activities.', ""17.This series of support measures and promotion efforts, costing $290 million, will render the affected sectors some tangible assistance, help rebuild confidence in Hong Kong, and enhance the city's image.""]"
4,[Economic Outlook for 2015],"['18.The year 2015 will be a challenging year. Amid improvement in the US economy, the US Federal Reserve Board is preparing to raise interest rates, running counter to the further easing measures pursued by the central banks of Europe and Japan. The stance of the new Greek government has added uncertainties to the market.', '19.The drop in international oil prices is beneficial to Hong Kong and other net energy importers. Excessive oil price volatility, however, will pose a real threat to the global economy and financial markets.', '20.The interaction of these factors will further complicate the external environment: (a) the US inflation outlook will be affected, making it more difficult to forecast the pace of interest rate rise; (b) rising deflation risks in Europe and Japan will add headwinds to the economic recovery; and (c) some oil exporting countries face huge pressures on finance and exchange rates due to geopolitical tensions and dropping oil prices. All these macroeconomic factors will upset the stability of global financial markets.', ""21.Emerging Asian markets are showing a better performance in general. The Mainland's economic growth is relatively stable but faces downward pressure this year. The global economy as a whole is likely to stay on a slow-growing path in the post-financial tsunami period. This, amid a stronger US dollar, will continue to put a drag on Hong Kong's trade performance."", '22.Domestically, local consumption and investment sentiment will be dampened by the increased uncertainties over the US interest rate hike and weaker spending power of inbound visitors. In the face of internal and external challenges, I forecast Gross Domestic Product (GDP) growth at one to three per cent in 2015.', '23.The labour market will hold largely stable. But if the domestic sector continues to be trapped in a slow-growing path, the pace of job creation by enterprises will be affected.', '24.As regards inflation, with the softening of global commodity prices in the past year, imported inflation will remain mild. Retail sales have weakened recently, and rental pressure is less than that in previous years. I forecast that the headline inflation rate for 2015 as a whole will be 3.5 per cent with an underlying inflation rate at three per cent.']"
5,[Support for Small and Medium Enterprises],"[""25.Our external trade performance will be affected by a host of uncertainties this year. It can hardly drive our economic growth. As such, we shall need to rely on domestic demand for maintaining economic vibrancy and preserving employment. There are 320 000 small and medium enterprises (SMEs) in Hong Kong, accounting for 98 per cent of the total local enterprises and employing 50 per cent of the private sector workforce. This underscores SMEs' role as the mainstay of our economy. To support SMEs, I shall –"", '(a)extend the application period for the special concessionary measures under the SME Financing Guarantee Scheme to 29February2016;', '(b)inject $1.5billion into the SME Export Marketing and Development Funds;', '(c)increase the maximum amount of funding support for each project under the SME Development Fund from $2million to $5million; and', '(d)expand the scope of the SME Export Marketing Fund.']"
6,[Relief Measures],"[""26.I am aware that many of our citizens are expecting relief measures from Government to allay their burdens. In view of the challenging international macroeconomic environment, the unstable economic factors, the need to boost the local economy in the short term, and Government's relatively sound fiscal position in the short to medium term, I shall increase public expenditure in a prudent manner according to the principle of committing resources as and when justified and needed, and introduce the following one-off relief measures –"", '27.I have to point out that recurrent measures and one-off measures serve different objectives and purposes. The former addresses recurrent needs of the community, while the latter serves counter-cyclical objectives to provide cushioning effects for the economy and alleviate imminent economic hardships. They are not interchangeable.', '28.I raised the child allowances for three consecutive years from 2011-12 to 2013-14. Many parents want Government to provide more specific tax exemptions to ease their burden in taking care of their children. I understand the problems they are facing, but we need also to avoid complicating the tax regime. I shall increase the basic and additional child allowances from $70,000 to $100,000 from 2015-16 onwards. This will reduce government revenue by $2 billion each year.', '29.Amounting to $34 billion, the six relief measures above should help alleviate the financial burden on the public, stimulate consumption, stabilise the economy and preserve employment. Together with other measures in the Budget, they will have a fiscal stimulus effect of boosting GDP by one percentage point.', '(a)reduce salaries tax and tax under personal assessment for 2014-15 by 75percent, subject to a ceiling of $20,000. The reduction will be reflected in the final tax payable for 2014-15. This proposal will benefit 1.82million taxpayers in the territory and reduce government revenue by $15.8billion;', '(b)reduce profits tax for 2014-15 by 75percent, subject to a ceiling of $20,000. The reduction will be reflected in the final tax payable for 2014-15. This proposal will benefit 130000 taxpayers in the territory and reduce government revenue by $1.9billion;', '(c)waive rates for the first two quarters of 2015-16, subject to a ceiling of $2,500per quarter for each rateable property. It will benefit 3.15million properties and reduce government revenue by $7.7billion;', '(d)provide an extra allowance to Comprehensive Social Security Assistance (CSSA) recipients, equal to two months of the standard rate CSSA payments, and an extra allowance to the recipients of Old Age Allowance, Old Age Living Allowance and Disability Allowance, equal to two months of the respective allowances. This will involve an additional expenditure of $5.5billion; and', ""(e)pay one month's rent for lower income tenants living in the rental units of the Hong Kong Housing Authority (HKHA) and the Hong Kong Housing Society (HKHS). Involving an expenditure of $1.1billion, this measure will not apply to tenants who are required to pay additional rent to HKHA and non-elderly tenants of the HKHS GroupB estates.""]"
7,[Developing Our Economy],"[""30.My key mission as Financial Secretary is to maintain a favourable business environment, promote sustainable economic development, and make available diverse and quality jobs to enable citizens to lead better and more fulfilling lives. I must also ensure that Government has adequate resources to enhance social services and improve people's livelihood."", '31.Technologies have brought economic globalisation into a new phase. Competition between economies has never been so fierce as potential customers became more accessible to enterprises all over the world. Only the fittest will survive, a reality that local enterprises have to face.', ""32.This new norm enables enterprises to adopt modern modes of production led by global supply chains and choose the most competitive partners from around the world. With Hong Kong's established position as an international financial, trading and logistics hub, our commercial sector is accustomed to utilising supply chain management. This gives them the opportunity to benefit from the ample room for development brought about by the close connections between regions."", '33.In the face of such challenges and opportunities, we should seek to lay a solid foundation for long-term development in a pragmatic manner, and enhance our overall strengths step by step through adding value to traditional industries and developing diversified new industries.', '34.Manpower mismatch is becoming more and more evident in Hong Kong in recent years. This, coupled with the imminent challenge of an ageing population, has directly hindered the sustainable economic development of our city. We must strive to overcome the constraints on our development potential and rise to the challenges together. Otherwise, our next generations will have to bear the price of our short-sightedness.']"
8,[Diversified Development],"['35.Hong Kong has long been a cradle for entrepreneurs. The city is renowned for its favourable business environment, with a fair and transparent market system, a liberal and open investment climate, and a simple and low tax regime. Legends of rags to riches live on for generations. Many entrepreneurs started their business without much experience, technology or capital. But their flexibility and market acumen have opened up new opportunities in different trades and markets.', '36.Social enterprises are gaining recognition in Hong Kong. With business models that balance economic and other social values, they mark the maturing of our society. Research showed that each dollar of public funding contributed four to seven dollars of workfare to those disadvantaged employees, reflecting the significant benefits brought about by social enterprises.', ""37.Diversified and dynamic, Hong Kong boasts a melting pot of cultures with a blooming talent pool in the cultural and creative sectors. I shall take the fashion industry, the film industry and the arts and culture sector as examples to unveil Government's initiatives in promoting these industries.""]"
9,[Start-ups],"['38.A new wave of entrepreneurship, in the form of start-ups, is emerging around the world. Many start-ups boldly apply new technologies, information technology in particular, disrupting the traditional mode of operation. They translate state-of-the-art technologies into competitive products and services that change consumption patterns and open up new markets.', '39.Last few years saw a notable burgeoning of start-ups in Hong Kong. They managed to build up a wider clientele base by conducting in-depth market studies, over and above their clearly-defined positioning and inspiring marketing strategies. I have seen an enterprise developing wireless chargers for electronic devices, and another designing a mobile application for pre-ordering coffee.', '40.Hong Kong is among the most advanced information and communication technology hubs in the world. Our well-established business support services and sound system to protect intellectual property (IP) rights provide favourable conditions for the growth of start-ups. Many public and private organisations offer support, including provision of co-working space, incubation programmes, business advisory services, and assistance in building partner networks. The number of such organisations has increased by tenfold over the past three years, and they include world-renowned organisations such as Nest and Accenture.', '41.InvestHK launched a large promotion campaign known as ""StartmeupHK"" two years ago to promote our advantages as a leading global hub for start-ups. The campaign has attracted innovative start-ups with potential to our city, and brought Hong Kong-based enterprises to the attention of many international angel and venture capital investors.', '42.We have witnessed a growing interest amongst investors in Hong Kong start-ups. International IT giants such as Microsoft have set up offices here to look for new businesses that are worth investing in. Start-ups nurtured by the Hong Kong Science and Technology Parks Corporation (HKSTPC) and the Cyberport have also attracted hundreds of millions of dollars of investment.', '43.Financing needs increase as start-ups grow. To further encourage financing of new enterprises, HKSTPC will earmark $50 million to set up a corporate venture fund for co-investment, on a matching basis with private funds, in start-ups which are located in the Science Park or have participated in its incubation programmes. I shall also ask the Hong Kong Mortgage Corporation Limited (HKMC) to expand and enhance the Microfinance Scheme.', '44.In addition, the proposed injection of $5 billion to the Innovation and Technology Fund will help strengthen support for relevant enterprises.', '45.We strive to provide start-ups with enhanced hardware and software support. HKSTPC will extend the Leading Enterprises Acceleration Programme to help more companies with potential to consolidate their businesses, raise capital and improve corporate management.', '46.From this year onwards, free online government information will be released in digital formats to encourage development of more applications by start-ups. Many start-ups have developed a wide range of mobile applications by exploiting such public sector information, including information on real-time traffic and weather conditions.', '47.Financial technologies are also an investment target of many venture capitalists or crowd funding efforts. Financial technologies that help facilitate functions such as payment, clearing and settlement systems, big data analytics, cloud computing, information and risk management and network security can enhance operational efficiency and help open new modes of development for the financial sector. Being an international financial centre with years of experience in technology, Hong Kong is an ideal place for developing financial technologies. I have asked the Secretary for Financial Services and the Treasury to set up a steering group to study how to develop Hong Kong into a financial technology hub together with industries, research and development institutions as well as regulatory authorities.', '48.I hope to improve the ecosystem for local start-ups and technological enterprises to tie in with the general direction of moving our economy up the value chain and enabling local industries to diversify.']"
